period,trade,side,entry_time_utc,exit_time_utc,hours_held,entry_price,exit_price,gross_return_pct,net_return_pct_after_0.12pct_friction,cumulative_return_pct_100pct_compounded
backtest,1,long,2024-12-10 00:00,2024-12-10 05:00,5.0,14.35,14.93,4.042,3.922,3.92
backtest,2,long,2024-12-10 20:00,2024-12-11 01:00,5.0,14.15,14.83,4.806,4.686,8.79
backtest,3,long,2024-12-19 08:00,2024-12-19 13:00,5.0,26.89,27.25,1.339,1.219,10.12
backtest,4,long,2024-12-20 16:00,2024-12-20 21:00,5.0,30.42,30.93,1.677,1.557,11.83
backtest,5,long,2024-12-24 04:00,2024-12-24 09:00,5.0,29.42,30.0,1.971,1.851,13.9
backtest,6,long,2024-12-24 16:00,2024-12-24 21:00,5.0,30.33,30.47,0.462,0.342,14.29
backtest,7,short,2024-12-26 08:00,2024-12-26 13:00,5.0,25.44,24.42,4.009,3.889,18.74
backtest,8,long,2024-12-27 12:00,2024-12-28 05:00,17.0,28.74,25.86,-10.021,-10.141,6.7
backtest,9,long,2024-12-28 12:00,2024-12-28 17:00,5.0,27.76,28.7,3.386,3.266,10.18
backtest,10,long,2024-12-30 08:00,2024-12-30 13:00,5.0,27.98,28.35,1.322,1.202,11.5
backtest,11,short,2024-12-31 20:00,2025-01-01 01:00,5.0,25.22,24.08,4.52,4.4,16.41
backtest,12,long,2025-01-02 00:00,2025-01-02 05:00,5.0,26.36,26.43,0.266,0.146,16.58
backtest,13,short,2025-01-02 16:00,2025-01-02 21:00,5.0,24.19,23.49,2.894,2.774,19.81
backtest,14,long,2025-01-05 00:00,2025-01-05 05:00,5.0,25.1,25.25,0.598,0.478,20.39
backtest,15,long,2025-01-06 04:00,2025-01-06 13:00,9.0,24.81,25.54,2.942,2.822,23.79
backtest,16,short,2025-01-07 20:00,2025-01-08 01:00,5.0,23.04,22.87,0.738,0.618,24.55
backtest,17,short,2025-01-08 04:00,2025-01-08 09:00,5.0,21.83,21.28,2.519,2.399,27.54
backtest,18,short,2025-01-09 08:00,2025-01-09 13:00,5.0,20.49,20.45,0.195,0.075,27.63
backtest,19,short,2025-01-11 08:00,2025-01-11 17:00,9.0,20.16,20.14,0.099,-0.021,27.61
backtest,20,long,2025-01-12 12:00,2025-01-12 17:00,5.0,21.44,21.91,2.192,2.072,30.25
backtest,21,short,2025-01-13 12:00,2025-01-13 21:00,9.0,18.93,20.83,-10.037,-10.157,17.02
backtest,22,short,2025-01-18 12:00,2025-01-18 17:00,5.0,20.76,20.26,2.408,2.288,19.7
